Word,PonderadoApilado,Similares
muerte,13.51,"['video muerte', 'se ganó el respeto de su comunidad y hoy lloran su muerte']"
grupo,13.319999999999997,"['grupo h', 'grupo e', 'grupo f', 'grupo g', 'grupo e robert lewandowski', 'grupo ocho sur']"
guillermo bermejo,13.190000000000001,"['bermejo', 'guilermo bermejo', 'guillermo bermejo testigo elsa malpartida']"
acuerdo,13.16,['acuerdo de parís \xa0 una reci —']
fiscalía,13.029999999999998,"['fiscal', 'fiscalía vladimir cerrón', 'fiscalía general de la nación', 'keiko fujimori fiscalía', 'fiscalía dinámicos del centro', ""fiscalía 'dinámicos del centro"", 'fiscalía general', 'centro fiscalía']"
información,12.649999999999999,['más información en']
defensa,12.58,"['ministerio de defensa', 'frente único de defensa de los intereses de chumbivilcas', 'el instituto nacional de defensa de la competencia']"
real madrid,12.350000000000001,"['madrid', 'sheriff sobre real madrid', 'real', 'real madrid video']"
organización,12.33,"['organización mundial de la salud', 'organización internacional del trabajo', 'reorganización', 'consejo de la organización de los estados americanos', 'organización de los estados americanos', 'organización panamericana de la salud']"
verónika mendoza,11.71,"['mendoza', 'verónika mendoza «sendero', 'verónika mendoza «sendero luminoso', 'verónika mendoza ""nosotros', 'verónika', 'video verónika mendoza', 'exitosa verónika mendoza', 'verónika mendoza ""sendero']"
mediodía,11.69,"['medida', 'edición mediodía']"
familia,11.32,"['familiar', 'la familia de miya marcano', 'familia yenny vargas']"
vida,11.3,"['un mundo donde se garantice la vida de seres humanos', 'encuesta de condiciones de vida en venezuela']"
vladimir cerrón,11.290000000000001,"['cerrón', 'centro vladimir cerrón', 'vladimir', 'vladimir) cerrón']"
lava,11.02,"['lava jato', 'imágenes impresionantes lava', 'lava jato rafael vela', ""peru's prosecutor lava jato special prosecution"", 'la llegada de la colada de lava del volcán']"
medio,10.92,['programa para el medio ambiente']
selección,10.8,"['elección', 'selección peruana']"
red,10.79,"['red almenara «no fui', 'red devils']"
fase 2,10.73,"['fase', '2/2', 'fase 2 estamos']"
justicia,10.52,"['junta nacional de justicia', 'justicia de ee uu', 'corte suprema de justicia de la república']"
empresa,10.32,"['empresa estadounidense', 'la empresa']"
corpus,10.280000000000001,"['habeas corpus', 'hábeas corpus']"
méxico,10.28,"['ciudad de méxico', 'guerreros méxico', 'ciudad acuña méxico', 'fiscalía de méxico']"
américa,10.25,"['américa latina', 'copa américa', 'américa hoy', 'copa américa 2019', 'américa latina  mujeres']"
sheriff tiraspol,10.149999999999999,"['sheriff', 'tiraspol']"
región,10.03,"['región cusco', 'padre abad región ucayali']"
benfica,9.899999999999999,"['benfica video', 'próxima fecha b múnich benfica']"
niño,9.87,['hospital del niño de breña']
sesión,9.86,['pcm sesión']
mar,9.72,['miguel magdalena del mar pueblo libre surquillo jesús maría chorrillos']
agua,9.72,"['planta de tratamiento de agua potable', 'sistemas de agua potable', 'el aumento de la temperatura del agua']"
tema,9.69,['el tema']
callao,9.59,['callao hace']
día mundial del corazón,9.3,"['corazón', 'día mundial del corazón cómo', 'día mundial del corazón tres', 'día mundial del corazón consejos', 'día mundial del corazón conoce', 'día mundial del corazón sabes']"
hombre,9.299999999999999,['el hombre de 30 años']
