Keyword,Words Topico
lima,"['equipo', 'sport boys', 'laliga', 'lima', 'city', 'binacional video', 'radamel falcao', 'rayo vallecano', 'hincha', 'carlos fernandez', 'bosnia', 'le cag**** el cacharro mira', 'detalles']"
liga 1,"['fc barcelona', 'universitario', 'liga 1', 'peruano', 'bus', 'club', 'deportivo municipal', 'doncaster', 'rodrigo vilca', 'juan pablo varillas', 'liga mx', 'representante de dos santos']"
ligue 1,"['boca juniors', 'serie b', 'ligue 1', 'campana', 'luis advíncula', 'messi', 'juego', 'tucumán video', 'gianluca lapadula', 'miguel trauco', 'cambio', 'atlético tucumán']"
campana,"['boca juniors', 'serie b', 'ligue 1', 'campana', 'luis advíncula', 'messi', 'juego', 'tucumán video', 'gianluca lapadula', 'miguel trauco', 'cambio', 'atlético tucumán']"
luis advíncula,"['boca juniors', 'serie b', 'ligue 1', 'campana', 'luis advíncula', 'messi', 'juego', 'tucumán video', 'gianluca lapadula', 'miguel trauco', 'cambio', 'atlético tucumán']"
premier league,"['partido', 'perú', 'selección', 'vamo', 'premier league', 'hernán barcos', 'jugador', 'victoria', 'aldo corzo', 'ytalo manzo dt', 'directv sports', 'serie a', 'chica', 'josé carvallo']"
hernán barcos,"['partido', 'perú', 'selección', 'vamo', 'premier league', 'hernán barcos', 'jugador', 'victoria', 'aldo corzo', 'ytalo manzo dt', 'directv sports', 'serie a', 'chica', 'josé carvallo']"
torneo,"['gol', 'encuentro', 'joao villamarín', 'empate', 'torneo', 'orlando núñez', 'fútbol', 'falta', 'la mejor manera de defendernos', 'carlos desio dt', 'primera ronda', 'nerman fatic', 'inter de milán']"
messi,"['boca juniors', 'serie b', 'ligue 1', 'campana', 'luis advíncula', 'messi', 'juego', 'tucumán video', 'gianluca lapadula', 'miguel trauco', 'cambio', 'atlético tucumán']"
jugador,"['partido', 'perú', 'selección', 'vamo', 'premier league', 'hernán barcos', 'jugador', 'victoria', 'aldo corzo', 'ytalo manzo dt', 'directv sports', 'serie a', 'chica', 'josé carvallo']"
arranca la segunda parte,"['jornada', 'marcos lópez', 'horario', 'arranca la segunda parte', 'movistar', 'comentario', 'bayern munich', 'copa davis', 'liga profesional', 'cabeza', 'tomislav brkic', 'global tv']"
peruano,"['fc barcelona', 'universitario', 'liga 1', 'peruano', 'bus', 'club', 'deportivo municipal', 'doncaster', 'rodrigo vilca', 'juan pablo varillas', 'liga mx', 'representante de dos santos']"
city,"['equipo', 'sport boys', 'laliga', 'lima', 'city', 'binacional video', 'radamel falcao', 'rayo vallecano', 'hincha', 'carlos fernandez', 'bosnia', 'le cag**** el cacharro mira', 'detalles']"
juego,"['boca juniors', 'serie b', 'ligue 1', 'campana', 'luis advíncula', 'messi', 'juego', 'tucumán video', 'gianluca lapadula', 'miguel trauco', 'cambio', 'atlético tucumán']"
bus,"['fc barcelona', 'universitario', 'liga 1', 'peruano', 'bus', 'club', 'deportivo municipal', 'doncaster', 'rodrigo vilca', 'juan pablo varillas', 'liga mx', 'representante de dos santos']"
gl de,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
club,"['fc barcelona', 'universitario', 'liga 1', 'peruano', 'bus', 'club', 'deportivo municipal', 'doncaster', 'rodrigo vilca', 'juan pablo varillas', 'liga mx', 'representante de dos santos']"
movistar,"['jornada', 'marcos lópez', 'horario', 'arranca la segunda parte', 'movistar', 'comentario', 'bayern munich', 'copa davis', 'liga profesional', 'cabeza', 'tomislav brkic', 'global tv']"
binacional video,"['equipo', 'sport boys', 'laliga', 'lima', 'city', 'binacional video', 'radamel falcao', 'rayo vallecano', 'hincha', 'carlos fernandez', 'bosnia', 'le cag**** el cacharro mira', 'detalles']"
comentario,"['jornada', 'marcos lópez', 'horario', 'arranca la segunda parte', 'movistar', 'comentario', 'bayern munich', 'copa davis', 'liga profesional', 'cabeza', 'tomislav brkic', 'global tv']"
victoria,"['partido', 'perú', 'selección', 'vamo', 'premier league', 'hernán barcos', 'jugador', 'victoria', 'aldo corzo', 'ytalo manzo dt', 'directv sports', 'serie a', 'chica', 'josé carvallo']"
aldo corzo,"['partido', 'perú', 'selección', 'vamo', 'premier league', 'hernán barcos', 'jugador', 'victoria', 'aldo corzo', 'ytalo manzo dt', 'directv sports', 'serie a', 'chica', 'josé carvallo']"
orlando núñez,"['gol', 'encuentro', 'joao villamarín', 'empate', 'torneo', 'orlando núñez', 'fútbol', 'falta', 'la mejor manera de defendernos', 'carlos desio dt', 'primera ronda', 'nerman fatic', 'inter de milán']"
bayern munich,"['jornada', 'marcos lópez', 'horario', 'arranca la segunda parte', 'movistar', 'comentario', 'bayern munich', 'copa davis', 'liga profesional', 'cabeza', 'tomislav brkic', 'global tv']"
radamel falcao,"['equipo', 'sport boys', 'laliga', 'lima', 'city', 'binacional video', 'radamel falcao', 'rayo vallecano', 'hincha', 'carlos fernandez', 'bosnia', 'le cag**** el cacharro mira', 'detalles']"
carlos a mannucci de,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
tucumán video,"['boca juniors', 'serie b', 'ligue 1', 'campana', 'luis advíncula', 'messi', 'juego', 'tucumán video', 'gianluca lapadula', 'miguel trauco', 'cambio', 'atlético tucumán']"
fútbol,"['gol', 'encuentro', 'joao villamarín', 'empate', 'torneo', 'orlando núñez', 'fútbol', 'falta', 'la mejor manera de defendernos', 'carlos desio dt', 'primera ronda', 'nerman fatic', 'inter de milán']"
dc united,"['dc united', 'red', 'frank kessié ac milan', 'championship video']"
deportivo municipal,"['fc barcelona', 'universitario', 'liga 1', 'peruano', 'bus', 'club', 'deportivo municipal', 'doncaster', 'rodrigo vilca', 'juan pablo varillas', 'liga mx', 'representante de dos santos']"
falta,"['gol', 'encuentro', 'joao villamarín', 'empate', 'torneo', 'orlando núñez', 'fútbol', 'falta', 'la mejor manera de defendernos', 'carlos desio dt', 'primera ronda', 'nerman fatic', 'inter de milán']"
felipe rodríguez,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
oncena,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
copa davis,"['jornada', 'marcos lópez', 'horario', 'arranca la segunda parte', 'movistar', 'comentario', 'bayern munich', 'copa davis', 'liga profesional', 'cabeza', 'tomislav brkic', 'global tv']"
doncaster,"['fc barcelona', 'universitario', 'liga 1', 'peruano', 'bus', 'club', 'deportivo municipal', 'doncaster', 'rodrigo vilca', 'juan pablo varillas', 'liga mx', 'representante de dos santos']"
red,"['dc united', 'red', 'frank kessié ac milan', 'championship video']"
rodrigo vilca,"['fc barcelona', 'universitario', 'liga 1', 'peruano', 'bus', 'club', 'deportivo municipal', 'doncaster', 'rodrigo vilca', 'juan pablo varillas', 'liga mx', 'representante de dos santos']"
rayo vallecano,"['equipo', 'sport boys', 'laliga', 'lima', 'city', 'binacional video', 'radamel falcao', 'rayo vallecano', 'hincha', 'carlos fernandez', 'bosnia', 'le cag**** el cacharro mira', 'detalles']"
vacunatorio de plaza norte,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
la mejor manera de defendernos,"['gol', 'encuentro', 'joao villamarín', 'empate', 'torneo', 'orlando núñez', 'fútbol', 'falta', 'la mejor manera de defendernos', 'carlos desio dt', 'primera ronda', 'nerman fatic', 'inter de milán']"
gianluca lapadula,"['boca juniors', 'serie b', 'ligue 1', 'campana', 'luis advíncula', 'messi', 'juego', 'tucumán video', 'gianluca lapadula', 'miguel trauco', 'cambio', 'atlético tucumán']"
juan pablo varillas,"['fc barcelona', 'universitario', 'liga 1', 'peruano', 'bus', 'club', 'deportivo municipal', 'doncaster', 'rodrigo vilca', 'juan pablo varillas', 'liga mx', 'representante de dos santos']"
carlos desio dt,"['gol', 'encuentro', 'joao villamarín', 'empate', 'torneo', 'orlando núñez', 'fútbol', 'falta', 'la mejor manera de defendernos', 'carlos desio dt', 'primera ronda', 'nerman fatic', 'inter de milán']"
vuelta,"['estadio', 'fase 2', 'monumental', 'iván elías moreno', 'final', 'real madrid', 'fotos', 'mario palomino', 'gl de', 'carlos a mannucci de', 'felipe rodríguez', 'oncena', 'vacunatorio de plaza norte', 'vuelta', 'el salvador', 'últimos 45 minutos', 'bale', 'alineaciones', 'listos', 'momentos']"
