,Name,KeywordsByWord
10,volcán,"['lava', 'la palma', 'volcán', 'océano atlántico', 'volcán', 'lava', 'agua', 'la palma', 'contacto', 'atlántico', 'riesgo', 'momento', 'contacto', 'volcán', 'islas canarias', 'mar', '/es', 'lava', 'agua', 'colada', 'noche', 'martes', 'población', 'océano', 'la palma', 'gas', 'gas', 'corrosión', 'volcán', 'mar', 'lava', 'agua', 'nube', 'sistema', 'efecto', 'la palma', 'contacto', 'llegada', 'condición', 'volcán', 'no', 'mar', 'lava', 'embargo', 'litoral', 'bomba', 'efecto', 'reacción', 'la palma', 'explosión', 'drones', 'volcán', 'geoposicionamiento', 'tecnología', 'google earth', 'daño', 'momento', 'residente', 'contacto', 'volcán', 'mar', 'lava', 'reuters', 'ap', 'imágenes', 'magma', 'océano atlántico', 'gas', 'cumbre vieja', 'atlántico', 'residente', 'volcán', 'casa', 'toalla', 'lava', 'autoridad', 'cinta', 'ventana', 'la palma', 'isla', 'gas', 'puerta', 'volcán', 'mar', 'lava', 'autoridad', 'agua', 'nube', 'colada', 'cumbre vieja de la palma', 'contacto']"
11,agua,"['río', 'humo', 'lava', 'agua', 'nube', 'televisión', 'acantilado', 'imagen', 'volcán', 'lava', 'agua', 'la palma', 'contacto', 'intento', 'exterminio', 'esclavitud', 'agua', 'destierros', 'privación', 'presa', 'agua', 'inglaterra', 'millón', 'isla de wight', 'parentesco', 'borde', 'resto', 'zona', 'año', '/ju', 'depredador', 'atlántico', 'riesgo', 'momento', 'contacto', 'volcán', 'islas canarias', 'mar', '/es', 'lava', 'agua', 'colada', 'noche', 'martes', 'población', 'océano', 'la palma', 'gas', 'lengua', 'llegada', 'explosión', 'mar', 'lava', 'agua', 'nube', 'colada', 'noche', 'martes', 'ola', 'experto', 'isla', 'cumbre vieja', 'gas', 'corrosión', 'volcán', 'mar', 'lava', 'agua', 'nube', 'sistema', 'efecto', 'la palma', 'contacto', 'volcán', 'mar', 'lava', 'autoridad', 'agua', 'nube', 'colada', 'cumbre vieja de la palma', 'contacto', 'calidad', 'aire', 'lava', 'autoridad', 'agua', 'nube', 'colada', 'canarias españa', 'la palma', 'isla', 'contacto', 'formación']"
12,américa latina,"['américa latina', 'escenario', 'legalización', 'américa latina', 'favor', 'aborto', 'mujer', 'estados unidos', 'américa latina', 'infraestructura', 'proyecto', 'iniciativa', 'china']"
13,covid,"['encuesta', 'vacunado', 'covid', 'eeuu', 'covid', 'pase', 'eslovenia', 'protesta', 'covid', 'presidente', 'autorización', 'cóctel', 'médico', 'asesor', 'paciente', 'empresa', 'comisión parlamentaria de investigación', 'prevent senior', 'covid', 'presidente', 'autorización', 'cóctel', 'médico', 'asesor', 'paciente', 'empresa', 'comisión parlamentaria de investigación', 'prevent senior', 'covid', 'presidente', 'autorización', 'médico', 'asesor', 'coctel', 'paciente', 'empresa', 'comisión parlamentaria de investigación', 'prevent senior']"
14,tribunal,"['expresidente', 'justicia', 'proceso', 'tribunal', 'mn', 'fecha', 'asesinato', 'creación', 'favor', 'organización', 'periodista', 'gobierno', 'cuenta', 'tribunal', 'prensa', 'libertad', 'ee', 'protesta', 'progenitor', '2008', 'control', 'pop', 'tribunal', 'estrella', 'mes', 'constructora', 'soborno', 'expresidente', 'tribunal', 'nación', 'parte', 'constructora', 'soborno', 'expresidente', 'tribunal', 'nación', 'parte']"
15,estados unidos,"['estados unidos', 'hombre', 'esperanza', 'lituania', 'vida', '2020', 'año', 'pérdida', 'estados unidos', 'precedente', 'homicidio', 'tasa', 'año', 'aumento', 'estados unidos', 'economía', 'aporte', 'comunidad', 'estados unidos', 'pájaro', 'especie', 'carpintero', 'estados unidos', 'américa latina', 'infraestructura', 'proyecto', 'iniciativa', 'china']"
16,fiscalía,"['asesinato', 'medio', 'cuernavaca', 'fiscalía', 'país', 'intimidación', 'tiro', 'ama', 'año', 'portal', 'prensa', 'manuel gonzález reyes', 'méxico', 'decena', 'centro', 'fiscalía', 'preso', 'año', 'motín', 'decena', 'centro', 'fiscalía', 'preso', 'año', 'motín']"
17,elección,"['votación', 'cargo', 'ministro', 'yoshihide', 'elección', 'año', 'octubre', 'líder', 'partido liberal democrático', 'fumio kishida', 'pld', 'ee', 'país', 'ministro', '2020', 'elección', 'fumio', 'líder', 'partido liberal democrático', 'primaria', 'mandatario', 'ee', 'el pugilista', 'elección', 'boxeo', 'aspiración', 'retirada', 'rodrigo duterte', 'senador', 'revocación', 'autoridad', 'ministro', 'enero', 'elección', 'referéndum', 'noviembre', 'ministro de asuntos exteriores', 'país', 'elección', 'septiembre', 'gobernante', 'partido liberal democrático', 'fumio kishida', 'revocación', 'autoridad', 'ministro', 'enero', 'elección', 'referéndum', 'noviembre', 'ministro de asuntos exteriores', 'país', 'elección', 'septiembre', 'gobernante', 'partido liberal democrático', 'fumio kishida']"
18,informa,"['viernes', 'florida', 'informa', 'miya marcano', 'bala', 'cabeza', 'manuela rodríguez', 'año', 'distrito', 'oficial', 'informa', 'long beach california', 'parte', 'obra', 'medida', 'regresa', 'programa en nueva jersey', '$', 'desempleado', 'escasez', 'mano', 'informa', 'niño', 'vacunación', 'teatro', 'mandato', 'vacuna', 'el condado los ángeles', 'fda', 'dato', 'lugar', 'año', 'pfizer', 'restaurante', 'efectividad', 'informa', 'colegio', 'madre', 'hija', 'año', 'afganistán', 'ayuda', 'cecilia bernal', 'temor', 'informa', 'idaho', 'pronostican lluvia', 'mar', 'lava', 'especie', 'el aumento de la temperatura del agua', 'nieve', 'la palma españa', 'texas', 'volcán cumbre vieja', 'informa', 'miya marcano', 'búsqueda', 'caso', 'florida', 'decenas', 'informa', 'sospechoso', 'voluntario']"
19,ee,"['asesinato', 'creación', 'favor', 'organización', 'periodista', 'gobierno', 'cuenta', 'tribunal', 'prensa', 'libertad', 'ee', 'número', 'informe', 'junio', 'semana', 'disminución', 'oms', 'muerto', 'ee', 'canciller', 'ee', 'éxito', 'gobierno steffen seibert', 'comunicado', 'lunes', 'portavoz', 'través', 'pld', 'ee', 'país', 'ministro', '2020', 'elección', 'fumio', 'líder', 'partido liberal democrático', 'primaria', 'mandatario', 'ee', 'el pugilista', 'elección', 'boxeo', 'aspiración', 'retirada', 'rodrigo duterte', 'senador']"
