,Name,KeywordsByWord
10,encuentro,"['largo', 'momento', 'regularidad', 'rendimiento', 'encuentro', 'torneo', 'estoy contento de volver', 'delantero', 'posibilidad', 'gol', 'joao villamarín', 'encuentro', 'nosotros', 'mario palomino', 'partido', 'concentración', 'resultado', 'volante', 'encuentro', 'fecha', 'estadio', 'breve', 'encuentro', 'monumental', 'fase 2', 'defensor', 'final', 'encuentro', 'renzo garcés', 'cero', 'objetivo', 'equipo', 'orlando núñez', 'por lo menos no se perdió', 'partido', 'volante', 'encuentro', 'equipo', 'delantero', 'renato espinosa', 'cara', 'entrega', 'actitud', 'encuentro', 'defensor', 'brazo', 'equipo', 'rafael lutiger', 'semana', 'empate', 'encuentro', 'ventaja tricolor', 'fecha', 'postal', 'felipe rodríguez', 'gol', 'estadio', 'monumental mira', 'encuentro', 'fase 2', 'fecha', 'final', 'esfuerzo', 'quito nuestra', 'partido', 'martes', 'próximo', 'selección peruana  femenina', 'ecuador', 'encuentro', 'fifa', 'boca', 'partido', 'luis advíncula', 'cuando', 'racing', 'insulto', 'vs', 'encuentro', 'árbitro', 'perú22 vamos perú', 'pablo varillas 6/6', 'minuto', '0damir', 'victoria', 'copa davis', 'día', 'nicolas', 'encuentro', 'varillas']"
11,marcos lópez,"['defensor', 'camino', 'año', 'marcos lópez', 'derecha', 'gol', 'ataque', 'va por buen', 'centro', 'cabeza', 'mls', 'marcos lópez', 'video', 'san josé earthquakes', 'marca perú golazo de', 'minuto', 'golazo', 'mls', 'san jose earthquakes', 'marcos lópez', 'tanto', 'giro', 'jornada', 'lateral', 'cuello', 'austin fc', 'cabeza', 'visita', 'marcos lópez']"
12,selección,"['selección', 'medio', 'escenario', 'cancha', 'ecuador', 'frente', 'selección', 'oslimg mora', 'mensaje', 'pirata', 'contundente', 'hernán barcos', 'las palabras de', 'crítica', 'aldo corzo', 'josé luis carranza', 'tema', 'selección', 'vamos', 'campeonato sudamericano de voleibol 2021', '25-2025-1625-21', 'triunfo', 'barrancabermeja', 'perú', 'participación', 'selección', 'banco guayaquil', 'nicoles charcopa', 'pm', 'martes', 'estadio', 'ecuador', 'vamo', 'perú', 'selección', 'sudamericano femenino', 'fecha', 'pm', 'sigamos alentando', 'chile', 'partido', 'señal', 'hd', 'través', 'barrancabermeja', 'directv sports', 'vamo', 'sd/', 'perú', 'clave', 'selección', 'orgullos', 'chile', 'apoyo', 'sigamos', 'sudamericano hoy']"
13,joao villamarín,"['fecha', 'torneo', 'objetivo', 'triunfo', 'tanto', 'cupo', 'reto', 'joao villamarín', 'fase 2', 'delantero', 'goleador', 'posibilidad', 'semana', 'joao villamarín', 'torneo', 'estoy contento de volver', 'delantero', 'posibilidad', 'gol', 'joao villamarín', 'encuentro', 'nosotros', 'duelo', 'acción', 'gol', 'empate', 'joao villamarín', 'elaboración', 'cuadro', 'monumental', 'estadio', 'joao villamarín', 'boys', 'sport', 'gl de', 'paridad']"
14,vamo,"['estadio banco guayaquil de quito', 'selección peruana  femenina', 'ecuador', 'vamo', 'perú', 'pm', 'blanquirroja el partido', 'partido amistoso  alineación', 'unidos', 'fútbol femenino', 'vamo', 'perú', 'selección', 'banco guayaquil', 'nicoles charcopa', 'pm', 'martes', 'estadio', 'ecuador', 'vamo', 'perú', 'selección', 'sudamericano femenino', 'fecha', 'pm', 'sigamos alentando', 'chile', 'partido', 'señal', 'hd', 'través', 'barrancabermeja', 'directv sports', 'vamo', 'sd/', 'perú', 'clave']"
15,real madrid,"['real madrid', 'champions', 'barcelona', 'lucha', 'matthaus', 'favorito', 'enfermería', 'molestia', 'ancelotti', 'lesión', 'real madrid', 'bale', 'hazard', 'tv', 'horario', 'real madrid', 'vivo', 'canal', 'laliga santander', 'valencia', 'decisión', 'real madrid', 'mbappé', 'fichaje', 'francés', 'mes', 'real madrid', 'próximo', 'bale', 'justo', 'real madrid', 'millón', 'fichaje', 'precio', 'euros']"
16,fotos,"['fotos', 'copa perú 2021', 'cara', 'entrenador', 'fotos', 'fotos']"
17,fc barcelona,"['cuadro', 'lisandro martínez', 'fc barcelona', 'consideración', 'jornada', 'leyenda', 'certamen', 'renato tapia', 'fc barcelona', 'laliga fantasy', 'cuenta', 'resaltante', 'andrés iniesta', 'claras', 'delantero', 'bayern munich', 'honor', 'resultado', 'fc barcelona', 'dirección', 'memphis', 'situación', 'cosas', 'puesto', 'vamos', 'luis abram', 'duelo', 'pm', 'lucho', 'granada', 'septiembre', 'lunes', 'titular', 'fc barcelona', 'hora', 'a ganar', 'laliga']"
18,universitario,"['municipal', 'parejo', 'partido', 'universitario', 'historial', 'universitario', 'regreso', 'representante de dos santos', 'delantero', 'universitario', 'deportivo municipal cuándo', 'hora', 'liga 1', 'universitario', 'golperu', 'deportivo municipal', 'liga 1']"
19,sport boys,"['binacional video', 'campana', 'sport boys', 'vuelta', 'binacional video', 'clase', 'sport boys', 'cachito villamarín', 'fecha', 'j villamarín', 'binacional', 'liga', 'l campana', 'palomino', 'sport boys']"
20,boca juniors,"['contraataque letal', 'atlético', 'montes', 'tucumán video', 'vs', 'boca juniors', 'lópez', 'tucumán video', 'media vuelta', 'vs', 'boca juniors', 'purga', 'boca juniors', 'resultado', 'vista', 'peruanos', 'pm', 'banca', 'carlos zambrano', 'luis advíncula', 'sábado', 'suplente', 'titular', 'atlético tucumán', 'boca juniors', 'liga profesional de argentina', 'fecha', 'minuto', 'campo', 'lugar', 'carlos zambrano', 'luis advíncula', 'punto', 'liga argentina', 'juego', 'atlético tucumán', 'boca juniors']"
21,empate,"['manchester city', 'southampton', 'premier league', 'empate', 'dt', 'minuto', 'manchester city', 'pep guardiola', 'calendario', 'southampton', 'gol', 'día', 'premier league', 'empate', 'duelo', 'acción', 'gol', 'empate', 'joao villamarín', 'elaboración', 'defensor', 'brazo', 'equipo', 'rafael lutiger', 'semana', 'empate', 'encuentro', 'igualdad', 'estadio monumental gol', 'empate', 'carlos neumann', 'frente']"
22,laliga,"['vía', 'fecha', 'directv real madrid', 'vivo', 'valencia', 'laliga', 'atlético de madrid', 'equipo', 'jornada', 'partido', 'igualdad', 'punto', 'diego simeone', 'athletic club', 'líder', 'laliga', 'puesto', 'vamos', 'luis abram', 'duelo', 'pm', 'lucho', 'granada', 'septiembre', 'lunes', 'titular', 'fc barcelona', 'hora', 'a ganar', 'laliga', 'minuto', 'exequipo', 'tabla', 'jornada', 'solo', 'luis advíncula', 'getafe', 'gol', 'punto', 'rayo vallecano', 'tan', 'tigre', 'radamel falcao', 'laliga', 'jornada', 'cuadro', 'listos atlético de', 'partidazo', 'am', 'madrid', 'alineación', 'laliga', 'athletic club de bilbao']"
23,mario palomino,"['fecha', 'objetivo', 'mario palomino', 'concentración', 'volante', 'mario palomino', 'partido', 'concentración', 'resultado', 'volante', 'encuentro', 'mario palomino', 'tanto', 'cierre', 'gol', 'tiempo', 'festejo', 'plantel', 'estadio', 'monumental', 'mario palomino', 'equipo', 'monumental', 'estadio', 'binacional', 'gl de', 'fc']"
