,Name,KeywordsByWord
10,conductora,"['fuertes', 'conductora', 'contagio', 'gisela valcárcelrealice', 'casting', 'melissa paredes', 'raíz', 'declaración', 'covid-19de', 'magaly medinano', 'conductora', 'contagio', 'casting', 'melissa paredes', 'gisela', 'magaly', 'conductora', 'video', 'tv', 'setiembre', 'natalie vértiz', 'día', 'año', 'instagram', 'sheyla rojas', 'trabajo', 'conductora', 'papel', 'equipo', 'imagen', 'sofía franco', 'conductora', 'pareja', 'alcalde', 'la molina álvaro paz de la barra', 'año', 'televisión', 'amor', 'desamor', 'show', 'conductora', 'cuenta', 'reinas', 'conductora', 'magaly medina', 'gisela valcárcel', 'casting', 'américa']"
11,crítica,"['publicación', 'crítica', 'andrea san martín', 'juan víctor', 'sebastián', 'crítica', 'pedro garcía', 'video', 'tú no le ganaste', 'felicidad', 'madrid', 'dulanto', 'cassandra sánchez de lamadrid esta', 'reflexión', 'crítica', 'red', 'gisela valcárcel', 'crítica', 'crítica', 'cantante', 'pamela franco', 'agrupación', 'imagen', 'instagram', 'crítica']"
12,corazón,"['insn', 'éxito', 'peso', 'corazón', 'kilo', 'san borja', 'corazón', 'covid-19', 'secuela']"
13,sebastián,"['qué le pasa a', 'gigi', 'bebé', 'red', 'subir', 'rodrigo', 'sebastián', 'andrea', 'publicación', 'crítica', 'andrea san martín', 'juan víctor', 'sebastián', 'emoción', 'andrea san martín', 'juan víctor', 'hija', 'sebastián', 'peluchín', 'red', 'hija', 'sebastián', 'andrea', 'andrea san martín', 'juan víctor', 'hija', 'sebastián', 'integridad']"
14,padre,"['britney spears tribunal', 'ángeles', 'cantante', 'padre', 'tutela', 'año', 'tutor', 'padre', 'britney spears', 'padre', 'yuya', 'siddhartha', 'gustavo dulanto', 'padre', 'gareca', 'experimento', 'padre', 'comisaría', 'suboficial', 'justicia', 'bebé', 'mar', 'siddhartha', 'yuya', 'padre', 'padre', 'hae soo de squid game', 'park', 'vez']"
15,mujer,"['llave', 'escena', 'juego', 'maite perroni', 'mujer', 'trans', 'sexo', 'dni', 'mujer', 'reasignación', 'dania calderón', 'año', 'interés', 'mujer', 'jesús maría', 'el hospital edgardo rebagliati', 'mujer', 'médico', 'tocamiento', 'parte', 'trans', 'sexo', 'dni', 'mujer', 'reasignación', 'dania calderón', 'de humo', 'señales', 'mujer', 'laura bozzo', 'no da ni', 'ley', 'hombre', 'talibanes', 'smartphón', 'mujer', 'colegio', 'profesora', 'bisnieta', 'mujer', 'año']"
16,américa,"['empoderamiento', 'mensaje', 'gisela valcárcel', 'equipo', 'américa', 'covid-19', 'sinovac', 'vacuna', 'américa', 'acuerdo', 'ops', 'mensaje', 'gisela valcárcel', 'equipo', 'américa', 'covid-19', 'no estoy contento', 'vs', 'desconcentración', 'pachuca', 'américa', 'santiago solari', 'canción', 'bailarina', 'dupla', 'expareja', 'belén estévez', 'américa', 'el gran show', 'conductora', 'magaly medina', 'gisela valcárcel', 'casting', 'américa']"
17,cantante,"['britney spears tribunal', 'ángeles', 'cantante', 'padre', 'tutela', 'año', 'cantante', 'isabel pantoja madre', 'cantante', 'año', 'isabel pantoja', 'madre', 'amistad', 'ampay', 'expareja', 'cantante', 'kevin salas', 'modelo', 'reina', 'belleza', 'fanático', 'cantante', 'reality', 'modelo', 'crítica', 'cantante', 'pamela franco', 'agrupación', 'imagen', 'instagram', 'hija', 'tutela', 'cantante', 'britney spears padre']"
18,magaly medina,"['arreglito', 'magaly medina', 'rostro', 'conductora', 'magaly medina', 'gisela valcárcel', 'casting', 'américa', 'producción', 'magaly medina', 'equipo', 'criterio', 'sofía franco', 'magaly medina', 'álvaro paz de la barra']"
19,fiscalía vladimir cerrón,"['fiscalía vladimir cerrón', 'dinámicos del centro', 'cabecilla', 'cabecilla', 'sobrino', 'dinámicos del centro', 'fiscalía vladimir cerrón', 'pregunta del día']"
20,gisela valcárcel,"['empoderamiento', 'mensaje', 'gisela valcárcel', 'equipo', 'américa', 'covid-19', 'mensaje', 'gisela valcárcel', 'equipo', 'américa', 'covid-19', 'gisela valcárcel', 'crítica', 'conductora', 'magaly medina', 'gisela valcárcel', 'casting', 'américa']"
21,eeg,"['patricio parodi', 'eeg', 'guerreros puerto rico', 'revancha', 'kori  korina rivadeneira', 'eeg', 'competencia', 'susto', 'eeg', 'rosángela espinoza “no me siento cómoda', 'eeg', 'rosángela espinoza', 'suspensión', 'rap', 'said palao', 'alejandra baigorria', 'batalla', 'eeg']"
22,equipo,"['empoderamiento', 'mensaje', 'gisela valcárcel', 'equipo', 'américa', 'covid-19', 'gustavo dulanto', 'respuesta', 'liverpool', 'dt de sheriff', 'equipo', 'mensaje', 'gisela valcárcel', 'equipo', 'américa', 'covid-19', 'llanta', 'sheriff de', 'gustavo dulanto', 'equipo', 'gonzalo núñez', 'sheyla rojas', 'trabajo', 'conductora', 'papel', 'equipo', 'imagen', 'producción', 'magaly medina', 'equipo', 'criterio']"
23,show,"['show', 'conductora', 'cuenta', 'reinas', 'mejor', 'reinas', 'giselo', 'refuerzo', 'vania bludau', 'show', 'christian', 'reinas', 'vania bludau', 'show', 'mario irivarren', 'seguro', 'secret story', 'telecinco', 'show', 'figura', 'reality']"
24,setiembre,"['tarot', 'setiembre', 'gratis', 'miércoles', 'hoy', 'horóscopo', 'amatista', 'tarot', 'setiembre', 'gratis', 'miércoles', 'hoy', 'horóscopo', 'amatista', 'setiembre', 'salud', 'amor', 'horóscopo', 'predicciones', 'dinero', 'covid-19 hoy', 'naranjal del metropolitano', 'estación', 'setiembre', 'exterior', 'vacunarán', 'conductora', 'video', 'tv', 'setiembre', 'natalie vértiz', 'día', 'año', 'instagram']"
25,alejandro toledo,"['alejandro toledo', 'corpus', 'perú', 'recurso', 'extradición', 'hábea', 'alejandro toledo', 'corpus', 'perú', 'recurso', 'extradición', 'hábea', 'cholo sano', '“', 'alejandro toledo', 'sagrado', 'alejandro toledo', 'procuradora', 'caso', 'odebrecht', 'mes', 'extradición', 'habeas', 'corpus', 'perú', 'alejandro toledo']"
26,madre,"['elías montalvo', 'gran momento', 'palabra', 'madre', 'cantante', 'año', 'isabel pantoja', 'madre', 'stella', 'madre', 'melanie griffith', 'apellido', 'antonio banderas', 'hija']"
27,miércoles,"['tarot', 'setiembre', 'gratis', 'miércoles', 'hoy', 'horóscopo', 'amatista', 'tarot', 'setiembre', 'gratis', 'miércoles', 'hoy', 'horóscopo', 'amatista', 'audiencia', 'miércoles', 'control', 'acusación', 'keiko fujimori', 'gas', 'reunión', '“', 'miércoles', 'camisea', 'guido bellido', 'audiencia', 'miércoles', 'control', 'contra', 'acusación', 'keiko fujimori', 'cambio', 'baja', 'tipo', 'miércoles', 'hoy', 'dólar']"
28,historia,"['gustavo dulanto', 'champions league', 'historia', 'peruano', 'continuación', 'tilín', 'historia', 'repuesta', 'llegada', 'destino', 'historia', 'salida', 'perú', 'laura bozzo', 'interpol', 'méxico']"
29,evelyn vela,"['amiga', 'melissa klug', 'evelyn vela', 'distancia', 'embarazo', 'melissa klug', 'evelyn vela', 'respuesta', 'melissa klug', 'evelyn vela', 'empresaria', 'jovencita', 'edad', 'paso', 'hija', 'farándula', 'evelyn vela', 'retoque']"
30,lima,"['lima', 'lugar', 'semana', 'fin', 'reconciliación', 'álvaro', 'alcalde', '“', 'sofía', 'kurt villavicencio', 'lima', 'lima', 'atractivo', 'medicina', 'cercado', 'lima', 'farmacia', 'pnp']"
31,champions league,"['gustavo dulanto', 'champions league', 'historia', 'peruano', 'champions league', 'barcelona', 'benfica', 'grupo', 'resumen', 'gol', 'minuto', 'champions league', 'vivo', 'juventus', 'chelsea', 'champions league', 'star+', 'bayern múnich', 'vivo', 'vs', 'dinamo kiev', 'hora', 'vía', 'champions league', 'partido', 'barcelona', 'benfica', 'vivo', 'espn', 'vía']"
32,guerreros puerto rico,"['patricio parodi', 'eeg', 'guerreros puerto rico', 'revancha', 'patricio parodi', 'guerreros puerto rico', 'guerra', 'noviembre']"
33,gabriela herrera “estar,"['gabriela herrera “estar', 'diana sánchez']"
34,gobierno,"['gobierno', 'país', 'venezolano', 'delito', 'milímetro', 'gobierno', 'vladimir cerrón', 'traición', 'izquierda', 'pedro castillo', 'historial', 's/', 'gobierno']"
35,reinas,"['show', 'conductora', 'cuenta', 'reinas', 'mejor', 'reinas', 'giselo', 'refuerzo', 'vania bludau', 'show', 'christian', 'reinas', 'vania bludau', 'show', 'mario irivarren', 'seguro']"
36,profesor,"['vargas llosa pedro castillo', 'primaria', 'profesor', 'vargas llosa pedro castillo', 'primaria', 'profesor', 'pedro castillo', 'mario vargas llosa', 'primaria', 'profesor']"
37,guerra,"['sebastián lizarzaburu', 'juan víctor sánchez', 'red', 'andrea san martín', 'sebaslizar', 'les declara', 'ig', 'hija', 'nota', 'guerra', 'foto', 'lee', 'patricio parodi', 'guerreros puerto rico', 'guerra', 'noviembre', 'millett figueroa', 'vida', 'miniserie', 'detalle', 'experiencia', 'programa', 'guerra', 'parte', 'lesión', 'elías montalvo', 'guerra', 'muleta']"
38,camisea,"['gas', 'reunión', '“', 'miércoles', 'camisea', 'guido bellido', 'contrato', 'camisea', 'harold forsyth', 'tipo', 'renegociación', 'paso', 'pedro castillo', 'camisea', 'guido bellido']"
39,diana sánchez,"['misil', 'gabriela herrera', 'seguridad', 'diana sánchez', 'gabriela herrera “estar', 'diana sánchez', 'gabriela herrera ""estar seguro', 'consejito', 'diana sánchez']"
40,emoción,"['emoción', 'latin grammy', 'danna paola', 'vez', 'emoción', 'latin grammy', 'danna paola', 'vez', 'emoción', 'andrea san martín', 'juan víctor', 'hija', 'sebastián']"
41,techo propio,"['techo propio', 'programa', 'bono familiar habitacional', 'techo propio', 'bono familiar habitacional']"
42,milett figueroa,"['serie', 'calidad', 'verdad', 'milett figueroa', 'la academia', 'hombre', 'soltería', 'milett figueroa', 'calidad', 'producción', 'milett figueroa', 'la academia serie de eeg']"
43,salud,"['personal', 'minsa', 'dosis', 'salud', 'persona', 'comorbilidad', 'personal', 'salud', 'prioridad', 'año', 'inmunosupresión', 'persona', 'gustavo rosell', 'comorbilidad', 'línea', 'setiembre', 'salud', 'amor', 'horóscopo', 'predicciones', 'dinero']"
44,rodrigo gonzález,"['filtro', 'rodrigo gonzález', 'macarena vélez', 'plataforma', 'ethel', 'rodrigo gonzález', 'gisela', 'niña', 'magaly', 'lucy bacigalupo', 'hija', 'corriente', 'rodrigo gonzález', 'clase']"
45,imagen,"['columna', 'josé llaja', 'camarógrafo', 'imágenes', 'prensa', 'imagen', 'sheyla rojas', 'trabajo', 'conductora', 'papel', 'equipo', 'imagen', 'crítica', 'cantante', 'pamela franco', 'agrupación', 'imagen', 'instagram']"
46,la voz senior,"['cristian rivero', 'tony succar', 'la voz senior']"
47,respuesta,"['respuesta', 'melissa klug', 'evelyn vela', 'gustavo dulanto', 'respuesta', 'liverpool', 'dt de sheriff', 'equipo']"
48,lapadula,"['prensa', 'ben brereton', 'lapadula', 'perú', 'balán gonzáles', 'lapadula', 'farfán', 'guerrero']"
49,christian domínguez,"['mariella zanetti', 'christian domínguez', 'christian domínguez', 'américa hoy', 'emisión', 'broma', 'mariella zanetti', 'blanco']"
50,alejandra baigorria,"['josé figueroa', 'johanna san miguel', 'alejandra baigorria', 'rap', 'said palao', 'alejandra baigorria', 'batalla', 'eeg']"
51,dinámicos del centro,"['fiscalía vladimir cerrón', 'dinámicos del centro', 'cabecilla', 'cabecilla', 'sobrino', 'dinámicos del centro', 'fiscalía vladimir cerrón', 'pregunta del día']"
52,venezolano,"['s/400', 'venezolano', 'delito', 'pedro castillo gobierno', 'gobierno', 'país', 'venezolano', 'delito']"
53,disney plus,"['fecha', 'estreno', 'disney plus']"
54,rosell,"['persona', 'viceministro', 'rosell', 'dosis', 'persona', 'viceministro', 'rosell', 'dosis']"
55,selección,"['viejos zorros perú', 'selección', 'eliminatoria', 'ranking', 'rendimiento', 'luis la fuente', 'selección', 'dulanto']"
56,nuestra portada de hoy 29 de septiembre,"['nuestra portada de hoy 29 de septiembre', 'buenos días']"
57,buenos días,"['nuestra portada de hoy 29 de septiembre', 'buenos días']"
