Number of words,9257
Number of unique words,1106
Average word frequency,8.369801
Entropy,6.534286

Word,Frequency,Proportion,Entropy Term
reloj,3,0.000324,0.002604
sheyla,3,0.000324,0.002604
frase,4,0.000432,0.003347
olivo,6,0.000648,0.004758
gasto,3,0.000324,0.002604
educación,5,0.000540,0.004064
ritmo,8,0.000864,0.006096
campo,7,0.000756,0.005435
marte,3,0.000324,0.002604
directo,5,0.000540,0.004064
tierra,4,0.000432,0.003347
capítulo,3,0.000324,0.002604
golpe,11,0.001188,0.008003
combate,4,0.000432,0.003347
cadena,5,0.000540,0.004064
bus,4,0.000432,0.003347
terror,3,0.000324,0.002604
saldaña,3,0.000324,0.002604
josimar,3,0.000324,0.002604
silencio,4,0.000432,0.003347
señal,18,0.001944,0.012139
auge,3,0.000324,0.002604
kandahar,3,0.000324,0.002604
cuna,3,0.000324,0.002604
sam,3,0.000324,0.002604
heughan,3,0.000324,0.002604
sophie,3,0.000324,0.002604
skelton,3,0.000324,0.002604
versión,4,0.000432,0.003347
salud,28,0.003025,0.017546
noche,10,0.001080,0.007379
promoción,3,0.000324,0.002604
trome,4,0.000432,0.003347
leslie,3,0.000324,0.002604
moscoso,3,0.000324,0.002604
bambas,3,0.000324,0.002604
informe,14,0.001512,0.009821
david,3,0.000324,0.002604
cielo,3,0.000324,0.002604
permanencia,3,0.000324,0.002604
oposición,10,0.001080,0.007379
negociación,5,0.000540,0.004064
dz,6,0.000648,0.004758
acuerdo,6,0.000648,0.004758
condé,7,0.000756,0.005435
fuerza,9,0.000972,0.006743
alpha,5,0.000540,0.004064
capital,7,0.000756,0.005435
disparo,3,0.000324,0.002604
conjunto,5,0.000540,0.004064
general,5,0.000540,0.004064
animal,4,0.000432,0.003347
rival,3,0.000324,0.002604
marcha,3,0.000324,0.002604
familiar,3,0.000324,0.002604
libertad,3,0.000324,0.002604
ee,11,0.001188,0.008003
uu,11,0.001188,0.008003
bukele,8,0.000864,0.006096
fallo,5,0.000540,0.004064
supremo,4,0.000432,0.003347
reelección,9,0.000972,0.006743
líder,13,0.001404,0.009224
protesta,4,0.000432,0.003347
contenido,8,0.000864,0.006096
suscriptor,6,0.000648,0.004758
comercio,6,0.000648,0.004758
suscríbete,6,0.000648,0.004758
militantes,3,0.000324,0.002604
talibanes,4,0.000432,0.003347
florida,5,0.000540,0.004064
bebé,3,0.000324,0.002604
tolerancia,5,0.000540,0.004064
procurador,5,0.000540,0.004064
bicolor,5,0.000540,0.004064
huracán,4,0.000432,0.003347
ida,6,0.000648,0.004758
murdaugh,3,0.000324,0.002604
abogado,5,0.000540,0.004064
zelanda,3,0.000324,0.002604
crisis,8,0.000864,0.006096
recomendación,4,0.000432,0.003347
espacio,3,0.000324,0.002604
sabía,4,0.000432,0.003347
millonario,3,0.000324,0.002604
washington,5,0.000540,0.004064
salvador,10,0.001080,0.007379
irlanda,3,0.000324,0.002604
tipo,3,0.000324,0.002604
encuesta,3,0.000324,0.002604
tribuna,3,0.000324,0.002604
enlace,3,0.000324,0.002604
presión,3,0.000324,0.002604
militar,4,0.000432,0.003347
teniente,3,0.000324,0.002604
mamady,4,0.000432,0.003347
doumbouya,4,0.000432,0.003347
fuerzas,4,0.000432,0.003347
aire,5,0.000540,0.004064
miedo,3,0.000324,0.002604
tribunal,3,0.000324,0.002604
desarrollo,6,0.000648,0.004758
marco,3,0.000324,0.002604
poesía,3,0.000324,0.002604
territorio,6,0.000648,0.004758
época,3,0.000324,0.002604
defensa,7,0.000756,0.005435
vargas,4,0.000432,0.003347
sarah,3,0.000324,0.002604
harding,3,0.000324,0.002604
girls,3,0.000324,0.002604
aloud,3,0.000324,0.002604
grace,3,0.000324,0.002604
veracruz,4,0.000432,0.003347
habitante,4,0.000432,0.003347
municipio,5,0.000540,0.004064
deporte,3,0.000324,0.002604
quetta,3,0.000324,0.002604
economista,3,0.000324,0.002604
esperanza,3,0.000324,0.002604
texas,6,0.000648,0.004758
embarazo,4,0.000432,0.003347
aborto,5,0.000540,0.004064
representante,3,0.000324,0.002604
nayib,3,0.000324,0.002604
producto,4,0.000432,0.003347
solicitud,3,0.000324,0.002604
defensor,5,0.000540,0.004064
humanos,3,0.000324,0.002604
whatsapp,3,0.000324,0.002604
facebook,4,0.000432,0.003347
entrada,5,0.000540,0.004064
estreno,3,0.000324,0.002604
plaza,4,0.000432,0.003347
norte,6,0.000648,0.004758
cevallos,3,0.000324,0.002604
presentación,5,0.000540,0.004064
experiencia,6,0.000648,0.004758
militares,3,0.000324,0.002604
lozano,3,0.000324,0.002604
jurado,5,0.000540,0.004064
balón,6,0.000648,0.004758
gas,6,0.000648,0.004758
deuda,3,0.000324,0.002604
sala,6,0.000648,0.004758
agente,4,0.000432,0.003347
miércoles,3,0.000324,0.002604
prisión,3,0.000324,0.002604
tema,3,0.000324,0.002604
alberto,8,0.000864,0.006096
fujimori,4,0.000432,0.003347
conducción,10,0.001080,0.007379
hospital,4,0.000432,0.003347
rostro,3,0.000324,0.002604
solidaridad,4,0.000432,0.003347
exitosa,7,0.000756,0.005435
tejada,3,0.000324,0.002604
diris,3,0.000324,0.002604
anuncio,5,0.000540,0.004064
rango,4,0.000432,0.003347
afluencia,4,0.000432,0.003347
cooperativa,4,0.000432,0.003347
médico,4,0.000432,0.003347
favor,3,0.000324,0.002604
pobreza,3,0.000324,0.002604
hambre,3,0.000324,0.002604
vicepresidenta,5,0.000540,0.004064
iniciativa,3,0.000324,0.002604
amazonía,5,0.000540,0.004064
radio,3,0.000324,0.002604
delgado,5,0.000540,0.004064
sudamericanas,27,0.002917,0.017026
cotejo,5,0.000540,0.004064
juego,5,0.000540,0.004064
vestuario,3,0.000324,0.002604
marcador,5,0.000540,0.004064
partidazo,5,0.000540,0.004064
número,4,0.000432,0.003347
incidente,3,0.000324,0.002604
lideresa,4,0.000432,0.003347
ciudadanía,4,0.000432,0.003347
alejandro,4,0.000432,0.003347
giammattei,4,0.000432,0.003347
mandatario,3,0.000324,0.002604
p,4,0.000432,0.003347
miraflores,3,0.000324,0.002604
restaurante,3,0.000324,0.002604
acoso,4,0.000432,0.003347
fondo,3,0.000324,0.002604
suprema,6,0.000648,0.004758
encargada,6,0.000648,0.004758
ocasión,3,0.000324,0.002604
getty,6,0.000648,0.004758
images,6,0.000648,0.004758
gracia,3,0.000324,0.002604
cierre,7,0.000756,0.005435
estudio,5,0.000540,0.004064
cifra,3,0.000324,0.002604
carretera,3,0.000324,0.002604
inmigración,3,0.000324,0.002604
kabul,4,0.000432,0.003347
colectivo,3,0.000324,0.002604
capacidad,4,0.000432,0.003347
estabilidad,3,0.000324,0.002604
agosto,9,0.000972,0.006743
distribución,4,0.000432,0.003347
podcast,3,0.000324,0.002604
tnt,3,0.000324,0.002604
cumbia,5,0.000540,0.004064
sentencia,3,0.000324,0.002604
ayacucho,3,0.000324,0.002604
vinchos,3,0.000324,0.002604
anderson,3,0.000324,0.002604
cao,3,0.000324,0.002604
perla,4,0.000432,0.003347
pergamino,3,0.000324,0.002604
círculo,3,0.000324,0.002604
cortita,5,0.000540,0.004064
movimiento,4,0.000432,0.003347
democrática,3,0.000324,0.002604
gobernabilidad,3,0.000324,0.002604
patricia,3,0.000324,0.002604
escalada,3,0.000324,0.002604
misógina,3,0.000324,0.002604
lupa,3,0.000324,0.002604
ministra,4,0.000432,0.003347
yolanda,5,0.000540,0.004064
parlamentario,5,0.000540,0.004064
producción,3,0.000324,0.002604
martín,5,0.000540,0.004064
chepén,4,0.000432,0.003347
twitter,3,0.000324,0.002604
candidato,4,0.000432,0.003347
constitucional,5,0.000540,0.004064
canciller,3,0.000324,0.002604
legitimidad,3,0.000324,0.002604
sub,4,0.000432,0.003347
masculino,4,0.000432,0.003347
sudamericano,3,0.000324,0.002604
nicanor,4,0.000432,0.003347
parra,8,0.000864,0.006096
logro,5,0.000540,0.004064
latina→,4,0.000432,0.003347
anticovid,3,0.000324,0.002604
dc,3,0.000324,0.002604
televisión,3,0.000324,0.002604
