Number of pairs,6021.000000
Number of unique pairs,1281
Average pair frequency,4.700234
Pair entropy,6.951919

Pair,Frequency,Proportion,Entropy Term,Mutual Information
autoridad brasil,3.000000,0.000498,0.003789,2.567496
autoridad jugador,3.000000,0.000498,0.003789,4.071573
autoridad albiceleste,3.000000,0.000498,0.003789,5.324336
encuentro brasil,4.000000,0.000664,0.004861,3.628368
encuentro eliminatorias,3.000000,0.000498,0.003789,3.722620
brasil partido,11.000000,0.001827,0.011519,2.480484
brasil clasificatorias,3.000000,0.000498,0.003789,3.340686
brasil estadio,3.000000,0.000498,0.003789,2.529755
brasil conmebol,6.000000,0.000997,0.006887,3.746151
brasil suspensión,3.000000,0.000498,0.003789,2.329085
brasil autoridad,3.000000,0.000498,0.003789,2.567496
brasil argentina,67.000000,0.011128,0.050056,4.178082
brasil eliminatorias,12.000000,0.001993,0.012393,2.757539
brasil jugador,11.000000,0.001827,0.011519,3.792671
brasil albiceleste,4.000000,0.000664,0.004861,4.033833
brasil deportación,4.000000,0.000664,0.004861,4.726980
brasil futbolista,4.000000,0.000664,0.004861,3.715379
brasil fecha,6.000000,0.000997,0.006887,2.606717
brasil relación,4.000000,0.000664,0.004861,4.167364
brasil vs,20.000000,0.003322,0.018958,4.196352
brasil local,4.000000,0.000664,0.004861,3.548325
brasil llegada,4.000000,0.000664,0.004861,3.810689
brasil minuto,6.000000,0.000997,0.006887,3.574301
brasil cancha,4.000000,0.000664,0.004861,4.033833
brasil norma,4.000000,0.000664,0.004861,4.033833
argentina catar,3.000000,0.000498,0.003789,3.605699
argentina partido,13.000000,0.002159,0.013253,2.730230
argentina clasificatorias,4.000000,0.000664,0.004861,3.711059
argentina estadio,3.000000,0.000498,0.003789,2.612447
argentina conmebol,5.000000,0.000830,0.005891,3.646521
argentina suspensión,5.000000,0.000830,0.005891,2.922602
argentina autoridad,3.000000,0.000498,0.003789,2.650188
argentina brasil,37.000000,0.006145,0.031292,3.584308
argentina eliminatorias,13.000000,0.002159,0.013253,2.920274
argentina jugador,9.000000,0.001495,0.009725,3.674692
argentina qatar,4.000000,0.000664,0.004861,2.434766
argentina albiceleste,3.000000,0.000498,0.003789,3.828843
argentina variante,3.000000,0.000498,0.003789,3.200234
argentina arena,3.000000,0.000498,0.003789,4.116525
argentina deportación,3.000000,0.000498,0.003789,4.521990
argentina fecha,7.000000,0.001163,0.007856,2.843559
argentina relación,3.000000,0.000498,0.003789,3.962374
argentina fifa,4.000000,0.000664,0.004861,4.250056
argentina corinthians,4.000000,0.000664,0.004861,3.998742
argentina anvisa,3.000000,0.000498,0.003789,3.828843
argentina fotos,3.000000,0.000498,0.003789,3.510389
argentina duelo,3.000000,0.000498,0.003789,3.135695
argentina llegada,4.000000,0.000664,0.004861,3.893381
argentina minuto,6.000000,0.000997,0.006887,3.656992
argentina cancha,3.000000,0.000498,0.003789,3.828843
argentina norma,4.000000,0.000664,0.004861,4.116525
argentina viajero,4.000000,0.000664,0.004861,4.404207
argentina agencia,4.000000,0.000664,0.004861,4.586528
argentina sanitaria,4.000000,0.000664,0.004861,4.586528
argentina mu,3.000000,0.000498,0.003789,3.711059
argentina sudamericanas,4.000000,0.000664,0.004861,2.900129
eliminatorias partido,11.000000,0.001827,0.011519,2.862419
eliminatorias estadio,3.000000,0.000498,0.003789,2.911690
eliminatorias nacional,3.000000,0.000498,0.003789,2.569941
eliminatorias qatar,24.000000,0.003986,0.022023,4.525768
eliminatorias europeas,8.000000,0.001329,0.008801,5.108915
eliminatorias sudamericanas,25.000000,0.004152,0.022771,5.031954
jugador partido,8.000000,0.001329,0.008801,3.666108
jugador premier,5.000000,0.000830,0.005891,5.007282
jugador league,5.000000,0.000830,0.005891,5.643271
premier league,9.000000,0.001495,0.009725,6.730049
premier bellido,4.000000,0.000664,0.004861,5.120611
premier lupa,3.000000,0.000498,0.003789,6.730049
país méxico,4.000000,0.000664,0.004861,3.450687
atención año,3.000000,0.000498,0.003789,3.383245
examen admisión,27.000000,0.004484,0.024247,6.231057
examen san,5.000000,0.000830,0.005891,4.544659
examen marcos,5.000000,0.000830,0.005891,5.355589
examen pandemia,6.000000,0.000997,0.006887,4.621620
examen vacante,3.000000,0.000498,0.003789,5.720232
examen medio,4.000000,0.000664,0.004861,4.726980
admisión san,7.000000,0.001163,0.007856,4.917498
admisión marcos,5.000000,0.000830,0.005891,5.391956
admisión pandemia,6.000000,0.000997,0.006887,4.657987
admisión vacante,3.000000,0.000498,0.003789,5.756599
admisión fotos,3.000000,0.000498,0.003789,4.968142
admisión medio,4.000000,0.000664,0.004861,4.763348
