Number of pairs,6021.000000
Number of unique pairs,1281
Average pair frequency,4.700234
Pair entropy,6.951919

Pair,Frequency,Proportion,Entropy Term,Mutual Information
fecha eliminatorias,33.000000,0.005481,0.028536,4.693399
fecha qatar,6.000000,0.000997,0.006887,3.681798
fecha movistar,4.000000,0.000664,0.004861,3.902039
fecha sudamericanas,23.000000,0.003820,0.021268,5.490896
persona día,3.000000,0.000498,0.003789,2.201251
persona lima,10.000000,0.001661,0.010630,3.153910
persona año,40.000000,0.006643,0.033311,3.853249
persona ica,7.000000,0.001163,0.007856,4.147162
persona dosis,10.000000,0.001661,0.010630,3.964840
persona adolescente,3.000000,0.000498,0.003789,4.398476
persona semana,3.000000,0.000498,0.003789,2.910399
persona horario,6.000000,0.000997,0.006887,4.552627
persona vacunatorio,4.000000,0.000664,0.004861,4.329483
persona tiroteo,4.000000,0.000664,0.004861,4.552627
persona capital,3.000000,0.000498,0.003789,4.398476
persona washington,3.000000,0.000498,0.003789,4.734948
alejandra baigorria,9.000000,0.001495,0.009725,7.260677
alejandra paloma,4.000000,0.000664,0.004861,7.037533
alejandra fiuza,3.000000,0.000498,0.003789,6.972995
dosis vacuna,7.000000,0.001163,0.007856,4.629816
dosis distrito,6.000000,0.000997,0.006887,5.286596
dosis año,3.000000,0.000498,0.003789,1.996951
dosis persona,3.000000,0.000498,0.003789,2.760867
dosis zona,6.000000,0.000997,0.006887,5.468917
dosis anticovid,3.000000,0.000498,0.003789,5.979743
reto mujer,4.000000,0.000664,0.004861,5.242446
reto américa,4.000000,0.000664,0.004861,6.364589
reto logro,4.000000,0.000664,0.004861,7.394208
joven año,5.000000,0.000830,0.005891,3.383245
adolescente año,3.000000,0.000498,0.003789,3.634560
adolescente comorbilidad,4.000000,0.000664,0.004861,7.617352
cambio setiembre,3.000000,0.000498,0.003789,4.359255
cambio domingo,3.000000,0.000498,0.003789,4.151616
valle colca,3.000000,0.000498,0.003789,7.666142
congreso república,4.000000,0.000664,0.004861,5.555929
congreso comisión,3.000000,0.000498,0.003789,4.435338
congreso vacancia,3.000000,0.000498,0.003789,5.005882
sistema migraciones,3.000000,0.000498,0.003789,7.329670
objetivo pueblo,5.000000,0.000830,0.005891,5.957764
objetivo lucha,5.000000,0.000830,0.005891,6.260045
objetivo importancia,5.000000,0.000830,0.005891,7.013817
mensaje cueva,3.000000,0.000498,0.003789,5.979743
vania bludau,22.000000,0.003654,0.020505,6.472220
vania reinas,9.000000,0.001495,0.009725,4.406764
vania show,8.000000,0.001329,0.008801,4.051851
vania isabel,8.000000,0.001329,0.008801,5.607222
vania acevedo,3.000000,0.000498,0.003789,4.680460
bludau reinas,12.000000,0.001993,0.012393,4.694446
bludau show,9.000000,0.001495,0.009725,4.169634
bludau isabel,8.000000,0.001329,0.008801,5.607222
bludau acevedo,8.000000,0.001329,0.008801,5.661289
bludau reina,3.000000,0.000498,0.003789,4.435338
reinas paredes,3.000000,0.000498,0.003789,2.997997
reinas programa,3.000000,0.000498,0.003789,3.508823
reinas show,71.000000,0.011792,0.052361,5.063452
reinas melissa,3.000000,0.000498,0.003789,3.221141
reinas participante,3.000000,0.000498,0.003789,3.565981
reinas lady,3.000000,0.000498,0.003789,4.096609
show paredes,4.000000,0.000664,0.004861,3.048549
show programa,3.000000,0.000498,0.003789,3.271693
show reality,4.000000,0.000664,0.004861,3.964840
show melissa,8.000000,0.001329,0.008801,3.964840
show baile,4.000000,0.000664,0.004861,3.741696
show participante,9.000000,0.001495,0.009725,4.427464
show guillén,3.000000,0.000498,0.003789,3.964840
show gabriela,4.000000,0.000664,0.004861,3.810689
show gisela,7.000000,0.001163,0.007856,4.444413
show herrera,4.000000,0.000664,0.004861,4.147162
show descompensación,6.000000,0.000997,0.006887,4.552627
show lady,5.000000,0.000830,0.005891,4.370305
show temporada,3.000000,0.000498,0.003789,4.216154
directora inmunización,5.000000,0.000830,0.005891,6.815991
directora minsa,3.000000,0.000498,0.003789,5.502819
directora mañana,3.000000,0.000498,0.003789,7.260677
inmunización minsa,5.000000,0.000830,0.005891,5.240455
inmunización mañana,3.000000,0.000498,0.003789,6.487487
minsa región,4.000000,0.000664,0.004861,3.798071
minsa hora,3.000000,0.000498,0.003789,3.860591
minsa vacunación,5.000000,0.000830,0.005891,4.116525
minsa año,9.000000,0.001495,0.009725,3.311786
minsa persona,4.000000,0.000664,0.004861,3.264772
minsa dosis,5.000000,0.000830,0.005891,4.221885
minsa mañana,4.000000,0.000664,0.004861,5.972823
equipo clasificatorias,3.000000,0.000498,0.003789,5.181235
gian piero,4.000000,0.000664,0.004861,8.176968
gian díaz,3.000000,0.000498,0.003789,7.889286
piero díaz,3.000000,0.000498,0.003789,7.889286
chico eeg,3.000000,0.000498,0.003789,6.279848
eeg méxico,6.000000,0.000997,0.006887,5.314767
eeg guerreros,4.000000,0.000664,0.004861,6.162065
debut reinas,3.000000,0.000498,0.003789,4.789756
debut show,3.000000,0.000498,0.003789,4.552627
estrella torres,4.000000,0.000664,0.004861,7.037533
estrella tommy,4.000000,0.000664,0.004861,7.953824
estrella portugal,4.000000,0.000664,0.004861,7.953824
torres tommy,4.000000,0.000664,0.004861,7.260677
torres portugal,4.000000,0.000664,0.004861,7.260677
tommy portugal,4.000000,0.000664,0.004861,8.176968
red boca,3.000000,0.000498,0.003789,5.979743
red chorri,3.000000,0.000498,0.003789,5.063452
melissa paredes,24.000000,0.003986,0.022023,6.162065
melissa reinas,9.000000,0.001495,0.009725,4.319753
melissa show,4.000000,0.000664,0.004861,3.271693
melissa baile,4.000000,0.000664,0.004861,5.063452
melissa descompensación,5.000000,0.000830,0.005891,5.692061
baile reinas,4.000000,0.000664,0.004861,3.978826
baile show,3.000000,0.000498,0.003789,3.454014
robo ladrón,3.000000,0.000498,0.003789,7.442998
domingo distrito,6.000000,0.000997,0.006887,4.998914
domingo setiembre,12.000000,0.001993,0.012393,4.513406
domingo año,5.000000,0.000830,0.005891,2.220095
domingo persona,4.000000,0.000664,0.004861,2.760867
domingo dosis,7.000000,0.001163,0.007856,4.054452
domingo septiembre,12.000000,0.001993,0.012393,4.918871
domingo pérez,3.000000,0.000498,0.003789,4.998914
domingo carmen,3.000000,0.000498,0.003789,4.151616
domingo zona,6.000000,0.000997,0.006887,5.181235
domingo predicción,3.000000,0.000498,0.003789,4.998914
domingo exitosa,3.000000,0.000498,0.003789,4.844763
domingo radio,3.000000,0.000498,0.003789,5.692061
jefe unidos,4.000000,0.000664,0.004861,4.960595
jefe dirección,3.000000,0.000498,0.003789,5.771525
jefe inteligencia,5.000000,0.000830,0.005891,6.618823
jefe dini,8.000000,0.001329,0.008801,5.925676
jefe experiencia,3.000000,0.000498,0.003789,5.925676
delincuente york,3.000000,0.000498,0.003789,5.314767
delincuente camioneta,7.000000,0.001163,0.007856,5.925676
talibán gobierno,4.000000,0.000664,0.004861,3.997784
talibán afganistán,7.000000,0.001163,0.007856,5.163536
papa francisco,3.000000,0.000498,0.003789,7.483820
papa refugiado,3.000000,0.000498,0.003789,7.889286
francisco refugiado,3.000000,0.000498,0.003789,7.483820
unidos guerra,3.000000,0.000498,0.003789,4.726980
unidos afganistán,4.000000,0.000664,0.004861,4.503837
lucha pueblo,5.000000,0.000830,0.005891,5.203992
lucha reto,4.000000,0.000664,0.004861,6.170433
lucha logro,4.000000,0.000664,0.004861,6.506905
york delincuente,4.000000,0.000664,0.004861,5.602449
york víctima,3.000000,0.000498,0.003789,5.468917
guerra afganistán,6.000000,0.000997,0.006887,5.063452
voz senior,6.000000,0.000997,0.006887,7.165367
voz gana,3.000000,0.000498,0.003789,6.654541
muerte coronavirus,3.000000,0.000498,0.003789,4.600417
alter ego,3.000000,0.000498,0.003789,8.464650
amor signo,3.000000,0.000498,0.003789,5.612018
lara día,3.000000,0.000498,0.003789,5.420127
lara red,3.000000,0.000498,0.003789,6.672890
caída sistema,3.000000,0.000498,0.003789,6.770054
caída migraciones,3.000000,0.000498,0.003789,7.329670
paz eliminatorias,3.000000,0.000498,0.003789,4.128085
paz fecha,3.000000,0.000498,0.003789,4.670410
paz delgado,4.000000,0.000664,0.004861,7.260677
afganistán gobierno,4.000000,0.000664,0.004861,3.541026
ciudad conducción,10.000000,0.001661,0.010630,6.385208
qaeda talibán,3.000000,0.000498,0.003789,6.331141
mexicano méxico,4.000000,0.000664,0.004861,6.113274
premio pulitzer,4.000000,0.000664,0.004861,7.165367
premio lotería,3.000000,0.000498,0.003789,6.472220
premio dueño,3.000000,0.000498,0.003789,6.877685
atentado muerto,3.000000,0.000498,0.003789,6.385208
atentado quetta,3.000000,0.000498,0.003789,7.366037
septiembre año,3.000000,0.000498,0.003789,2.322373
septiembre persona,3.000000,0.000498,0.003789,3.086290
septiembre carmen,4.000000,0.000664,0.004861,5.052402
septiembre predicción,5.000000,0.000830,0.005891,6.122844
septiembre briceño,3.000000,0.000498,0.003789,6.017483
semana mes,3.000000,0.000498,0.003789,4.092393
semana gobierno,4.000000,0.000664,0.004861,3.508236
semana año,3.000000,0.000498,0.003789,2.146483
semana vista,4.000000,0.000664,0.004861,6.129275
infección coronavirus,7.000000,0.001163,0.007856,6.053851
poeta día,4.000000,0.000664,0.004861,4.503837
poeta año,8.000000,0.001329,0.008801,4.258714
poeta nicanor,4.000000,0.000664,0.004861,7.260677
poeta parra,4.000000,0.000664,0.004861,6.567530
participante reality,5.000000,0.000830,0.005891,5.854580
paciente semana,3.000000,0.000498,0.003789,5.148446
tabla eliminatorias,3.000000,0.000498,0.003789,4.598089
tabla posición,4.000000,0.000664,0.004861,7.260677
posición eliminatorias,3.000000,0.000498,0.003789,4.128085
pedro castillo,21.000000,0.003488,0.019736,5.779072
pedro rafael,3.000000,0.000498,0.003789,5.383760
pedro lópez,3.000000,0.000498,0.003789,4.764720
castillo rafael,4.000000,0.000664,0.004861,5.507139
castillo lópez,3.000000,0.000498,0.003789,4.600417
castillo aliaga,3.000000,0.000498,0.003789,5.373607
relación viajero,4.000000,0.000664,0.004861,7.211887
relación reino,4.000000,0.000664,0.004861,7.394208
relación unido,4.000000,0.000664,0.004861,7.394208
agua sjl,3.000000,0.000498,0.003789,5.961394
agua aniego,4.000000,0.000664,0.004861,6.567530
escolar riesgo,3.000000,0.000498,0.003789,5.825592
escolar semipresencialidad,3.000000,0.000498,0.003789,7.106526
escolar transporte,3.000000,0.000498,0.003789,7.106526
riesgo vida,3.000000,0.000498,0.003789,4.439298
riesgo transporte,3.000000,0.000498,0.003789,6.162065
venta arma,3.000000,0.000498,0.003789,6.972995
venta kandahar,3.000000,0.000498,0.003789,7.953824
justicia peruano,3.000000,0.000498,0.003789,5.756599
justicia fraude,3.000000,0.000498,0.003789,7.078355
luis jefe,3.000000,0.000498,0.003789,4.944847
luis latorre,5.000000,0.000830,0.005891,6.608352
luis fernández,3.000000,0.000498,0.003789,6.502991
latorre jefe,4.000000,0.000664,0.004861,6.213358
latorre dini,4.000000,0.000664,0.004861,6.385208
inteligencia presidente,3.000000,0.000498,0.003789,4.958092
inteligencia pergamino,3.000000,0.000498,0.003789,7.953824
inteligencia círculo,3.000000,0.000498,0.003789,7.953824
dini inteligencia,3.000000,0.000498,0.003789,6.279848
dini experiencia,3.000000,0.000498,0.003789,6.097526
dini sentencia,3.000000,0.000498,0.003789,6.790673
dini pergamino,3.000000,0.000498,0.003789,6.790673
escándalo brasil,3.000000,0.000498,0.003789,3.523007
escándalo argentina,4.000000,0.000664,0.004861,3.893381
parque exposición,3.000000,0.000498,0.003789,7.260677
papelón argentina,3.000000,0.000498,0.003789,4.521990
fifa suspensión,3.000000,0.000498,0.003789,5.219457
dybala messi,4.000000,0.000664,0.004861,6.305165
lionel suspensión,3.000000,0.000498,0.003789,4.169634
lionel argentina,5.000000,0.000830,0.005891,3.423377
lionel messi,16.000000,0.002657,0.015759,6.082022
lionel scaloni,4.000000,0.000664,0.004861,6.007914
messi brasil,4.000000,0.000664,0.004861,2.855178
messi argentina,5.000000,0.000830,0.005891,3.161013
messi cabeza,3.000000,0.000498,0.003789,5.794340
messi cancha,3.000000,0.000498,0.003789,5.324336
tapia red,3.000000,0.000498,0.003789,5.132445
tapia chorri,6.000000,0.000997,0.006887,6.007914
tapia gallese,5.000000,0.000830,0.005891,6.741883
tapia ramos,3.000000,0.000498,0.003789,6.413379
vs partido,3.000000,0.000498,0.003789,2.491123
vs argentina,20.000000,0.003322,0.018958,4.279044
vs eliminatorias,3.000000,0.000498,0.003789,2.681166
vs jugador,3.000000,0.000498,0.003789,3.803309
vs venezuela,11.000000,0.001827,0.011519,4.158131
vs llegada,3.000000,0.000498,0.003789,4.832929
vs agencia,3.000000,0.000498,0.003789,5.526076
vs casa,4.000000,0.000664,0.004861,4.378673
vs apuesta,4.000000,0.000664,0.004861,5.225971
corinthians fecha,4.000000,0.000664,0.004861,4.840309
scaloni suspensión,3.000000,0.000498,0.003789,5.219457
mem argentina,3.000000,0.000498,0.003789,4.809672
interrupción embarazo,3.000000,0.000498,0.003789,7.666142
liga profesional,3.000000,0.000498,0.003789,7.196138
liga femenina,3.000000,0.000498,0.003789,6.972995
local cerrón,3.000000,0.000498,0.003789,5.388875
duelo brasil,6.000000,0.000997,0.006887,3.746151
duelo argentina,3.000000,0.000498,0.003789,3.135695
duelo eliminatorias,5.000000,0.000830,0.005891,3.945764
duelo fecha,3.000000,0.000498,0.003789,3.977263
lapadula perú,4.000000,0.000664,0.004861,3.462383
lapadula venezuela,4.000000,0.000664,0.004861,3.839677
lapadula cholito,3.000000,0.000498,0.003789,6.442367
lapadula cueva,5.000000,0.000830,0.005891,6.142262
lapadula christian,3.000000,0.000498,0.003789,5.526076
lapadula guerrero,5.000000,0.000830,0.005891,5.506273
cueva perú,5.000000,0.000830,0.005891,4.321515
cueva venezuela,4.000000,0.000664,0.004861,4.475666
cueva cholito,3.000000,0.000498,0.003789,7.078355
hincha eliminatorias,3.000000,0.000498,0.003789,4.261617
hincha fecha,3.000000,0.000498,0.003789,4.803941
hincha gareca,3.000000,0.000498,0.003789,6.770054
hincha ricardo,3.000000,0.000498,0.003789,6.636523
ricardo gareca,5.000000,0.000830,0.005891,7.147348
luz burofax,3.000000,0.000498,0.003789,7.771502
fc barcelona,3.000000,0.000498,0.003789,7.366037
cosa sabía,3.000000,0.000498,0.003789,7.483820
punto san,4.000000,0.000664,0.004861,4.657987
punto juan,4.000000,0.000664,0.004861,5.756599
punto abastecimiento,5.000000,0.000830,0.005891,6.567530
bale triunfo,3.000000,0.000498,0.003789,6.567530
bale gales,4.000000,0.000664,0.004861,7.548359
gales eliminatorias,3.000000,0.000498,0.003789,4.598089
gales bielorrusia,3.000000,0.000498,0.003789,7.953824
gareth bale,5.000000,0.000830,0.005891,7.589181
rodrigo fecha,3.000000,0.000498,0.003789,4.803941
rodrigo paz,4.000000,0.000664,0.004861,6.924205
rodrigo delgado,4.000000,0.000664,0.004861,7.394208
guillén reinas,3.000000,0.000498,0.003789,4.201970
guillén show,3.000000,0.000498,0.003789,3.964840
cristiano ronaldo,3.000000,0.000498,0.003789,8.464650
neymar psg,3.000000,0.000498,0.003789,7.483820
horario dosis,5.000000,0.000830,0.005891,5.104274
horario semana,3.000000,0.000498,0.003789,4.742980
minuto partido,3.000000,0.000498,0.003789,3.073044
minuto brasil,4.000000,0.000664,0.004861,3.168835
minuto argentina,3.000000,0.000498,0.003789,2.963845
minuto eliminatorias,5.000000,0.000830,0.005891,3.773914
quito ecuador,7.000000,0.001163,0.007856,5.853180
quito chile,7.000000,0.001163,0.007856,5.779072
defensores chaco,4.000000,0.000664,0.004861,7.953824
river plate,3.000000,0.000498,0.003789,8.464650
river independiente,3.000000,0.000498,0.003789,8.464650
plate independiente,3.000000,0.000498,0.003789,8.464650
chorri tapia,4.000000,0.000664,0.004861,5.602449
chorri boca,3.000000,0.000498,0.003789,6.162065
chorri palacios,4.000000,0.000664,0.004861,6.295596
chorri ramos,3.000000,0.000498,0.003789,6.344386
medio brasil,3.000000,0.000498,0.003789,2.935221
medio argentina,3.000000,0.000498,0.003789,3.017912
medio pandemia,6.000000,0.000997,0.006887,5.063452
essalud planta,4.000000,0.000664,0.004861,6.354436
essalud oxígeno,4.000000,0.000664,0.004861,6.449747
instituto nacional,3.000000,0.000498,0.003789,5.078378
sedapal san,4.000000,0.000664,0.004861,5.351134
sedapal agua,5.000000,0.000830,0.005891,6.567530
sedapal punto,4.000000,0.000664,0.004861,5.651239
sedapal abastecimiento,4.000000,0.000664,0.004861,7.037533
abastecimiento san,4.000000,0.000664,0.004861,6.044282
abastecimiento juan,4.000000,0.000664,0.004861,7.142894
abastecimiento lurigancho,4.000000,0.000664,0.004861,7.548359
ugaz procurador,5.000000,0.000830,0.005891,7.483820
norma relación,4.000000,0.000664,0.004861,6.924205
norma viajero,5.000000,0.000830,0.005891,7.301499
norma reino,4.000000,0.000664,0.004861,7.260677
viajero reino,5.000000,0.000830,0.005891,7.771502
viajero unido,5.000000,0.000830,0.005891,7.771502
reino unido,5.000000,0.000830,0.005891,7.953824
agencia sanitaria,5.000000,0.000830,0.005891,7.953824
vladimir cerrón,6.000000,0.000997,0.006887,6.855212
cerrón josé,5.000000,0.000830,0.005891,5.420127
cerrón ugaz,5.000000,0.000830,0.005891,6.385208
cerrón procurador,4.000000,0.000664,0.004861,6.632068
alva democracia,3.000000,0.000498,0.003789,5.692061
alva vacancia,6.000000,0.000997,0.006887,6.017483
alva calle,4.000000,0.000664,0.004861,5.874383
renato red,3.000000,0.000498,0.003789,5.692061
renato tapia,8.000000,0.001329,0.008801,6.924205
viernes setiembre,6.000000,0.000997,0.006887,5.745550
viernes lima,6.000000,0.000997,0.006887,5.014662
viernes callao,6.000000,0.000997,0.006887,5.720232
covax venezuela,3.000000,0.000498,0.003789,4.775770
semipresencialidad riesgo,3.000000,0.000498,0.003789,6.162065
semipresencialidad transporte,3.000000,0.000498,0.003789,7.442998
olivos camioneta,6.000000,0.000997,0.006887,6.213358
pnp examen,3.000000,0.000498,0.003789,5.720232
casa partido,4.000000,0.000664,0.004861,3.260643
casa rumbo,4.000000,0.000664,0.004861,5.707809
casa papel,4.000000,0.000664,0.004861,5.602449
casa apuesta,7.000000,0.001163,0.007856,6.267425
apuesta partido,4.000000,0.000664,0.004861,4.107941
apuesta rumbo,4.000000,0.000664,0.004861,6.555107
apuesta qatar,4.000000,0.000664,0.004861,4.991132
víctima delincuente,6.000000,0.000997,0.006887,6.231057
víctima camioneta,6.000000,0.000997,0.006887,5.925676
víctima milagro,3.000000,0.000498,0.003789,6.385208
camioneta york,4.000000,0.000664,0.004861,5.297067
rosangella frente,3.000000,0.000498,0.003789,7.165367
rosangella bellido,3.000000,0.000498,0.003789,6.567530
rosangella manotazo,3.000000,0.000498,0.003789,8.464650
bellido frente,3.000000,0.000498,0.003789,5.268247
bellido situación,3.000000,0.000498,0.003789,5.586700
bellido manotazo,3.000000,0.000498,0.003789,6.567530
bellido lupa,3.000000,0.000498,0.003789,6.567530
manotazo frente,3.000000,0.000498,0.003789,7.165367
manotazo situación,3.000000,0.000498,0.003789,7.483820
gianluca lapadula,6.000000,0.000997,0.006887,6.575898
gianluca cueva,3.000000,0.000498,0.003789,6.518740
gianluca christian,3.000000,0.000498,0.003789,6.413379
christian perú,3.000000,0.000498,0.003789,3.705329
christian cholito,3.000000,0.000498,0.003789,6.972995
christian cueva,6.000000,0.000997,0.006887,6.855212
carmen signo,3.000000,0.000498,0.003789,5.537910
carmen alva,10.000000,0.001661,0.010630,6.454201
carmen vacancia,4.000000,0.000664,0.004861,5.745550
carmen briceño,3.000000,0.000498,0.003789,6.636523
presidenta congreso,4.000000,0.000664,0.004861,6.472220
calle vacancia,4.000000,0.000664,0.004861,6.082022
aprobación joe,3.000000,0.000498,0.003789,7.106526
aprobación biden,3.000000,0.000498,0.003789,6.972995
aprobación manejo,3.000000,0.000498,0.003789,7.666142
joe biden,5.000000,0.000830,0.005891,7.147348
joe manejo,4.000000,0.000664,0.004861,7.617352
joe retiro,3.000000,0.000498,0.003789,7.329670
biden manejo,4.000000,0.000664,0.004861,7.483820
biden retiro,3.000000,0.000498,0.003789,7.196138
biden tropa,3.000000,0.000498,0.003789,7.196138
manejo afganistán,3.000000,0.000498,0.003789,5.874383
manejo retiro,3.000000,0.000498,0.003789,7.889286
manejo tropa,3.000000,0.000498,0.003789,7.889286
retiro afganistán,3.000000,0.000498,0.003789,5.874383
retiro tropa,3.000000,0.000498,0.003789,7.889286
tropa afganistán,4.000000,0.000664,0.004861,6.162065
guatemala presidente,3.000000,0.000498,0.003789,4.621620
guatemala ciudadano,5.000000,0.000830,0.005891,6.828894
guatemala giammattei,3.000000,0.000498,0.003789,7.329670
estudiante examen,6.000000,0.000997,0.006887,5.624922
estudiante admisión,6.000000,0.000997,0.006887,5.661289
estudiante medio,4.000000,0.000664,0.004861,5.661289
martes comisión,3.000000,0.000498,0.003789,5.329155
martes setiembre,4.000000,0.000664,0.004861,5.088770
arabia saudita,4.000000,0.000664,0.004861,8.176968
arabia misil,4.000000,0.000664,0.004861,7.953824
saudita misil,4.000000,0.000664,0.004861,7.953824
saudita drón,4.000000,0.000664,0.004861,8.176968
misil drón,4.000000,0.000664,0.004861,7.953824
misil yemen,4.000000,0.000664,0.004861,7.953824
drón yemen,4.000000,0.000664,0.004861,8.176968
corte salvador,4.000000,0.000664,0.004861,6.449747
corte suprema,5.000000,0.000830,0.005891,7.183716
servicio agua,3.000000,0.000498,0.003789,6.413379
sjl aniego,5.000000,0.000830,0.005891,6.695363
sjl sábado,3.000000,0.000498,0.003789,6.066754
aniego sábado,3.000000,0.000498,0.003789,6.385208
postulante examen,5.000000,0.000830,0.005891,6.231057
postulante admisión,4.000000,0.000664,0.004861,6.044282
tacna planta,5.000000,0.000830,0.005891,6.209855
tacna essalud,4.000000,0.000664,0.004861,6.187382
unmsm examen,5.000000,0.000830,0.005891,5.537910
unmsm postulante,3.000000,0.000498,0.003789,6.749851
unmsm policía,3.000000,0.000498,0.003789,5.363557
policía examen,3.000000,0.000498,0.003789,4.333937
policía admisión,3.000000,0.000498,0.003789,4.370305
policía ataque,3.000000,0.000498,0.003789,5.027085
policía postulante,3.000000,0.000498,0.003789,6.056704
ministerio interior,5.000000,0.000830,0.005891,6.002216
ministerio salud,10.000000,0.001661,0.010630,5.442600
importancia pueblo,6.000000,0.000997,0.006887,6.140086
importancia reto,4.000000,0.000664,0.004861,6.924205
importancia lucha,5.000000,0.000830,0.005891,6.260045
isabel vania,6.000000,0.000997,0.006887,5.319540
isabel bludau,6.000000,0.000997,0.006887,5.319540
isabel reinas,7.000000,0.001163,0.007856,4.302053
isabel show,7.000000,0.001163,0.007856,4.064923
isabel acevedo,18.000000,0.002990,0.017377,6.618823
mu vacunación,3.000000,0.000498,0.003789,4.775770
mu frontera,3.000000,0.000498,0.003789,6.385208
guido bellido,7.000000,0.001163,0.007856,6.567530
fernández latorre,4.000000,0.000664,0.004861,7.771502
horóscopo signo,3.000000,0.000498,0.003789,5.874383
horóscopo domingo,4.000000,0.000664,0.004861,4.775770
horóscopo amor,3.000000,0.000498,0.003789,5.794340
horóscopo septiembre,4.000000,0.000664,0.004861,5.388875
horóscopo predicción,5.000000,0.000830,0.005891,7.078355
predicción signo,6.000000,0.000997,0.006887,7.078355
predicción carmen,3.000000,0.000498,0.003789,6.231057
predicción briceño,3.000000,0.000498,0.003789,7.483820
briceño signo,3.000000,0.000498,0.003789,6.790673
portada domingo,3.000000,0.000498,0.003789,4.488088
portada exitosa,3.000000,0.000498,0.003789,6.413379
diálogo gobierno,3.000000,0.000498,0.003789,5.045103
diálogo oposición,3.000000,0.000498,0.003789,6.749851
tumbes puente,3.000000,0.000498,0.003789,7.771502
osinergmin millón,3.000000,0.000498,0.003789,5.802062
osinergmin cobertura,3.000000,0.000498,0.003789,8.464650
osinergmin vale,3.000000,0.000498,0.003789,8.464650
cobertura millón,3.000000,0.000498,0.003789,5.802062
cobertura familia,3.000000,0.000498,0.003789,6.518740
cobertura vale,3.000000,0.000498,0.003789,8.464650
vale millón,3.000000,0.000498,0.003789,5.802062
vale familia,3.000000,0.000498,0.003789,6.518740
sétima vacunatón,6.000000,0.000997,0.006887,6.518740
sétima año,3.000000,0.000498,0.003789,3.788710
bono consulta,3.000000,0.000498,0.003789,6.385208
bono persona,4.000000,0.000664,0.004861,4.147162
bono sol,4.000000,0.000664,0.004861,6.066754
sol consulta,3.000000,0.000498,0.003789,6.472220
subsidio bono,3.000000,0.000498,0.003789,6.567530
gallese ramos,3.000000,0.000498,0.003789,7.260677
brecha vacunación,6.000000,0.000997,0.006887,5.720232
lee nota,4.000000,0.000664,0.004861,5.756599
banco nación,3.000000,0.000498,0.003789,7.483820
incendio vinchos,3.000000,0.000498,0.003789,7.953824
roberto palacios,3.000000,0.000498,0.003789,7.106526
rafael lópez,6.000000,0.000997,0.006887,6.844162
rafael aliaga,6.000000,0.000997,0.006887,7.617352
rafael emisario,6.000000,0.000997,0.006887,7.617352
lópez perú,3.000000,0.000498,0.003789,3.442965
lópez ministro,3.000000,0.000498,0.003789,5.005882
lópez cueva,4.000000,0.000664,0.004861,6.187382
lópez christian,3.000000,0.000498,0.003789,5.794340
lópez aliaga,6.000000,0.000997,0.006887,6.998313
lópez emisario,6.000000,0.000997,0.006887,6.998313
aliaga ministro,3.000000,0.000498,0.003789,5.779072
aliaga pedro,3.000000,0.000498,0.003789,5.537910
aliaga emisario,6.000000,0.000997,0.006887,7.771502
emisario premier,3.000000,0.000498,0.003789,6.036901
emisario ministro,3.000000,0.000498,0.003789,5.779072
emisario pedro,3.000000,0.000498,0.003789,5.537910
emisario castillo,3.000000,0.000498,0.003789,5.373607
bermejo miércoles,3.000000,0.000498,0.003789,7.771502
gabinete bellido,3.000000,0.000498,0.003789,5.874383
santiago suárez,4.000000,0.000664,0.004861,7.548359
guillermo bermejo,5.000000,0.000830,0.005891,7.078355
guillermo dávila,3.000000,0.000498,0.003789,6.749851
dina boluarte,5.000000,0.000830,0.005891,7.953824
dina activo,4.000000,0.000664,0.004861,7.953824
boluarte activo,4.000000,0.000664,0.004861,7.953824
negocio decisión,3.000000,0.000498,0.003789,6.385208
negocio sala,3.000000,0.000498,0.003789,6.790673
negocio constitucional,3.000000,0.000498,0.003789,6.972995
wilson soto,3.000000,0.000498,0.003789,7.953824
iber maraví,8.000000,0.001329,0.008801,6.880530
magaly medina,7.000000,0.001163,0.007856,6.472220
medina reinas,3.000000,0.000498,0.003789,3.760137
medina abuela,3.000000,0.000498,0.003789,6.924205
medina ritmo,3.000000,0.000498,0.003789,5.943375
medina cumbia,3.000000,0.000498,0.003789,6.413379
gabriela jiménez,3.000000,0.000498,0.003789,6.924205
gabriela herrera,9.000000,0.001495,0.009725,6.818844
gabriela diana,5.000000,0.000830,0.005891,6.924205
gabriela sánchez,4.000000,0.000664,0.004861,6.113274
gabriela malanga,3.000000,0.000498,0.003789,6.924205
vacunatorio lima,4.000000,0.000664,0.004861,4.252522
vacunatorio callao,4.000000,0.000664,0.004861,4.958092
impacto world,3.000000,0.000498,0.003789,8.464650
impacto trade,3.000000,0.000498,0.003789,8.464650
impacto center,3.000000,0.000498,0.003789,8.464650
world trade,3.000000,0.000498,0.003789,8.464650
world center,3.000000,0.000498,0.003789,8.464650
trade center,3.000000,0.000498,0.003789,8.464650
danna paola,3.000000,0.000498,0.003789,8.464650
gisela melissa,4.000000,0.000664,0.004861,5.206553
gisela valcárcel,8.000000,0.001329,0.008801,6.998313
gisela descompensación,3.000000,0.000498,0.003789,5.794340
ethel pozo,4.000000,0.000664,0.004861,8.176968
paolo guerrero,7.000000,0.001163,0.007856,6.730049
guerrero perú,4.000000,0.000664,0.004861,3.462383
guerrero venezuela,3.000000,0.000498,0.003789,3.551995
